Energy (MeV),Co60 Counts,Co60 Normalized,Cs137 Counts,Cs137 Normalized,Na22 Counts,Na22 Normalized
0.84515,0.000155165,0.0015074515213927642,0.0,0.0,5.10172e-05,0.0005836066398908223
0.84711,0.000154517,0.00150115610305833,0.0,0.0,5.13461e-05,0.0005873690616595609
0.84906,0.000155967,0.0015152430730968017,0.0,0.0,5.11714e-05,0.0005853705968283094
0.85101,0.000155669,0.001512347957875102,0.0,0.0,5.20246e-05,0.000595130700972693
0.85297,0.000153787,0.0014940640422803405,0.0,0.0,5.10275e-05,0.0005837244658081772
0.85492,0.000154362,0.001499650254536976,0.0,0.0,5.23741e-05,0.0005991287745761413
0.85688,0.000154496,0.0015009520848715658,0.0,0.0,5.20143e-05,0.0005950128750553382
0.85883,0.000155154,0.001507344654723507,0.0,0.0,5.39366e-05,0.0006170028518447764
0.86078,0.000155196,0.0015077526910970349,0.0,0.0,5.21479e-05,0.0005965411801581156
0.86274,0.000157252,0.0015277270430964134,0.0,0.0,5.15826e-05,0.0005900744819949416
0.86469,0.000158312,0.0015380251039521238,0.0,0.0,5.45739e-05,0.0006242931874884892
0.86665,0.000157571,0.0015308261765048772,0.0,0.0,5.43169e-05,0.0006213532592593441
0.8686,0.00015753,0.0015304278552830996,0.0,0.0,5.2076e-05,0.000595718686618522
0.87056,0.000159258,0.001547215637508258,0.0,0.0,5.22816e-05,0.0005980706292018381
0.87251,0.000159762,0.0015521120739905958,0.0,0.0,5.27236e-05,0.0006031268481795895
0.87446,0.000161243,0.0015665002137333385,0.0,0.0,5.35562e-05,0.0006126513004892635
0.87642,0.000161479,0.0015687929895464967,0.0,0.0,5.3289e-05,0.0006095946902837088
0.87837,0.000159824,0.0015527144133991374,0.0,0.0,5.29395e-05,0.0006055966166802605
0.88033,0.000162014,0.0015739905957331056,0.0,0.0,5.32376e-05,0.0006090067046378798
0.88228,0.000162611,0.0015797905413282556,0.0,0.0,5.35871e-05,0.000613004778241328
0.88423,0.000162189,0.0015756907472894727,0.0,0.0,5.3474e-05,0.0006117109810323153
0.88619,0.000163907,0.0015923813779971244,0.0,0.0,5.41627e-05,0.0006195893023218569
0.88814,0.000165305,0.0016059631601445616,0.0,0.0,5.44197e-05,0.000622529230551002
0.8901,0.000163392,0.001587378074845529,0.0,0.0,5.46253e-05,0.0006248811731343182
0.89205,0.000164647,0.0015995705902926204,0.0,0.0,5.4173e-05,0.0006197071282392117
0.894,0.000162282,0.001576594256402285,0.0,0.0,5.38132e-05,0.0006155912287184087
0.89596,0.000162518,0.0015788870322154434,0.0,0.0,5.44608e-05,0.0006229993902794762
0.89791,0.000167362,0.0016259472272956905,0.0,0.0,5.49029e-05,0.0006280567531981729
0.89987,0.000164956,0.0016025725721835777,0.0,0.0,5.52215e-05,0.0006317013490495566
0.90182,0.00016657,0.0016182528271091595,0.0,0.0,5.58383e-05,0.0006387571767995049
0.90377,0.00016728,0.0016251505848521356,0.0,0.0,5.5201e-05,0.0006314668411557922
0.90573,0.000170355,0.0016550246764854466,0.0,0.0,5.65887e-05,0.0006473413096522306
0.90768,0.000168308,0.0016351377608518245,0.0,0.0,5.70204e-05,0.0006522797027126272
0.90964,0.000169183,0.0016436385186336612,0.0,0.0,5.5057e-05,0.0006298195661947148
0.91159,0.000171867,0.0016697139859324604,0.0,0.0,5.57355e-05,0.0006375812055078469
0.91354,0.000171672,0.0016678195313410795,0.0,0.0,5.71232e-05,0.0006534556740042853
0.9155,0.000173142,0.0016821008044145649,0.0,0.0,5.60336e-05,0.0006409912934654662
0.91745,0.000174418,0.0016944973380484203,0.0,0.0,5.61261e-05,0.0006420494388397693
0.91941,0.000172607,0.0016769031982279564,0.0,0.0,5.70821e-05,0.0006529855142758111
0.92136,0.000173821,0.0016886973924532703,0.0,0.0,5.58486e-05,0.0006388750027168597
0.92331,0.000172967,0.0016804006528581977,0.0,0.0,5.76783e-05,0.0006598056901910496
0.92527,0.00017523,0.0017023860412699646,0.0,0.0,5.8182e-05,0.000665567720731985
0.92722,0.00017741,0.001723565072086426,0.0,0.0,5.77914e-05,0.0006610994874000624
0.92918,0.000175816,0.0017080791201958575,0.0,0.0,5.82129e-05,0.0006659211984840495
0.93113,0.000177668,0.001726071581238099,0.0,0.0,5.774e-05,0.0006605115017542335
0.93309,0.00017812,0.0017304628298294021,0.0,0.0,5.86549e-05,0.0006709774174618009
0.93504,0.000177472,0.0017241674114949676,0.0,0.0,5.98576e-05,0.0006847355952096329
0.93699,0.000179971,0.0017484455757198927,0.0,0.0,5.85624e-05,0.0006699192720874978
0.93895,0.000175713,0.0017070784595655385,0.0,0.0,5.89016e-05,0.0006737995197735912
0.9409,0.000177626,0.0017256635448645709,0.0,0.0,6.11734e-05,0.0006997875701664778
0.94286,0.000177719,0.0017265670539773834,0.0,0.0,5.8881e-05,0.0006735638679388815
0.94481,0.0001756,0.001705980647417713,0.0,0.0,5.90558e-05,0.0006755634767110783
0.94676,0.000176546,0.001715171180973847,0.0,0.0,5.95184e-05,0.0006808553475235395
0.94872,0.000173502,0.0016855982590448062,0.0,0.0,6.01351e-05,0.0006879100313325425
0.95067,0.00017452,0.0016954882835269888,0.0,0.0,6.0166e-05,0.000688263509084607
0.95263,0.000170201,0.0016535285431158436,0.0,0.0,6.08958e-05,0.000696611990102623
0.95458,0.000172021,0.0016712101193020637,0.0,0.0,6.06902e-05,0.0006942600475193069
0.95653,0.000165511,0.0016079644814051995,0.0,0.0,6.09266e-05,0.0006969643239137423
0.95849,0.000163773,0.0015910795476625347,0.0,0.0,6.30237e-05,0.0007209539094753774
0.96044,0.00016367,0.0015900788870322157,0.0,0.0,6.22013e-05,0.0007115461391421129
0.9624,0.000158641,0.0015412213888780944,0.0,0.0,6.2777e-05,0.0007181318071635869
0.96435,0.000153375,0.0014900613997590644,0.0,0.0,6.07622e-05,0.0006950836849998456
0.9663,0.000151976,0.0014764699024598766,0.0,0.0,6.17182e-05,0.0007060197604358872
0.96826,0.000145919,0.0014176252283060662,0.0,0.0,6.17387e-05,0.0007062542683296518
0.97021,0.000142206,0.0013815528698558272,0.0,0.0,6.13995e-05,0.0007023740206435582
0.97217,0.000139717,0.0013573718571484087,0.0,0.0,6.27153e-05,0.0007174259956004032
0.97412,0.000133166,0.0012937278980297672,0.0,0.0,6.30751e-05,0.0007215418951212062
0.97607,0.000131644,0.0012789414370652469,0.0,0.0,6.27256e-05,0.000717543821517758
0.97803,0.000129576,0.0012588505032448609,0.0,0.0,6.31676e-05,0.0007226000404955095
0.97998,0.000125133,0.0012156860840166325,0.0,0.0,6.24891e-05,0.0007148384011823773
0.98194,0.00012139,0.0011793222710138732,0.0,0.0,6.38871e-05,0.0007308306955961705
0.98389,0.000123282,0.0011977033381261417,0.0,0.0,6.40105e-05,0.0007322423187225383
0.98584,0.000118428,0.0011505459915283876,0.0,0.0,6.32704e-05,0.0007237760117871675
0.9878,0.000118397,0.001150244821824117,0.0,0.0,6.29003e-05,0.0007195422863490096
0.98975,0.000117276,0.0011393541367116155,0.0,0.0,6.44114e-05,0.0007368283779718157
0.99171,0.000114931,0.0011165721058562935,0.0,0.0,6.57169e-05,0.0007517625270113056
0.99366,0.000112576,0.0010936929234834649,0.0,0.0,6.53571e-05,0.0007476466274905024
0.99561,0.000110005,0.0010687152683324915,0.0,0.0,6.58814e-05,0.0007536443098661475
0.99757,0.000110354,0.0010721058562934752,0.0,0.0,6.74233e-05,0.0007712827353000729
0.99952,0.00010946,0.001063420510628376,0.0,0.0,6.60253e-05,0.0007552904408862797
1.0015,0.000106457,0.0010342459099211131,0.0,0.0,6.56552e-05,0.0007510567154481217
1.0034,0.000107382,0.001043232425290483,0.0,0.0,6.75055e-05,0.0007722230547570213
1.0054,0.000107917,0.0010484300314770917,0.0,0.0,6.70018e-05,0.0007664610242160859
1.0073,0.000106035,0.00103014611588233,0.0,0.0,6.68579e-05,0.0007648148931959537
1.0093,0.000106025,0.0010300489643648234,0.0,0.0,6.74439e-05,0.0007715183871347827
1.0112,0.000103947,0.0010098608790269305,0.0,0.0,6.67654e-05,0.0007637567478216505
1.0132,0.000105264,0.0010226557338825634,0.0,0.0,6.81943e-05,0.0007801025199875082
1.0152,0.000103309,0.0010036626122100027,0.0,0.0,6.85026e-05,0.0007836292899215372
